--Patching for National Dex at Start of Game--
Patch unsuccessful.

--Pokemon Base Stats & Types--
NUM|NAME      |TYPE             |  HP| ATK| DEF| SPE|SATK|SDEF|ABILITY1    |ABILITY2    |ITEM
  1|BULBASAUR |GRASS/POISON     |  45|  49|  49|  45|  65|  65|OVERGROW    |OVERGROW    |
  2|IVYSAUR   |GRASS/POISON     |  60|  62|  63|  60|  80|  80|OVERGROW    |OVERGROW    |BLACK BELT (common)
  3|VENUSAUR  |GRASS/POISON     |  80|  82|  83|  80| 100| 100|OVERGROW    |OVERGROW    |TM25 (rare)
  4|CHARMANDER|FIRE             |  39|  52|  43|  65|  60|  50|BLAZE       |BLAZE       |
  5|CHARMELEON|FIRE             |  58|  64|  58|  80|  80|  65|BLAZE       |BLAZE       |TM45 (rare)
  6|CHARIZARD |FIRE/FLYING      |  78|  84|  78| 100| 109|  85|BLAZE       |BLAZE       |
  7|SQUIRTLE  |WATER            |  44|  48|  65|  43|  50|  64|TORRENT     |TORRENT     |
  8|WARTORTLE |WATER            |  59|  63|  80|  58|  65|  80|TORRENT     |TORRENT     |STARDUST (rare)
  9|BLASTOISE |WATER            |  79|  83| 100|  78|  85| 105|TORRENT     |TORRENT     |
 10|CATERPIE  |BUG              |  45|  30|  35|  45|  20|  20|SHIELD DUST |SHIELD DUST |QUICK CLAW (100%)
 11|METAPOD   |BUG              |  50|  20|  55|  30|  25|  25|SHED SKIN   |SHED SKIN   |DRAGON FANG (common), HEART SCALE (rare)
 12|BUTTERFREE|BUG/FLYING       |  60|  45|  50|  70|  80|  80|COMPOUNDEYES|COMPOUNDEYES|DEEPSEATOOTH (common), WHITE HERB (rare)
 13|WEEDLE    |BUG/POISON       |  40|  35|  30|  50|  20|  20|SHIELD DUST |SHIELD DUST |DEEPSEASCALE (100%)
 14|KAKUNA    |BUG/POISON       |  45|  25|  50|  35|  25|  25|SHED SKIN   |SHED SKIN   |FULL RESTORE (common), YELLOW SHARD (rare)
 15|BEEDRILL  |BUG/POISON       |  65|  80|  40|  75|  45|  80|SWARM       |SWARM       |
 16|PIDGEY    |NORMAL/FLYING    |  40|  45|  40|  56|  35|  35|KEEN EYE    |KEEN EYE    |
 17|PIDGEOTTO |NORMAL/FLYING    |  63|  60|  55|  71|  50|  50|KEEN EYE    |KEEN EYE    |TM27 (common), FRESH WATER (rare)
 18|PIDGEOT   |NORMAL/FLYING    |  83|  80|  75|  91|  70|  70|KEEN EYE    |KEEN EYE    |SILVERPOWDER (common)
 19|RATTATA   |NORMAL           |  30|  56|  35|  72|  25|  35|RUN AWAY    |GUTS        |PROTEIN (100%)
 20|RATICATE  |NORMAL           |  55|  81|  60|  97|  50|  70|RUN AWAY    |GUTS        |TM23 (100%)
 21|SPEAROW   |NORMAL/FLYING    |  40|  60|  30|  70|  31|  31|KEEN EYE    |KEEN EYE    |TM36 (rare)
 22|FEAROW    |NORMAL/FLYING    |  65|  90|  65| 100|  61|  61|KEEN EYE    |KEEN EYE    |
 23|EKANS     |POISON           |  35|  60|  44|  55|  40|  54|INTIMIDATE  |SHED SKIN   |
 24|ARBOK     |POISON           |  60|  85|  69|  80|  65|  79|INTIMIDATE  |SHED SKIN   |MOON STONE (100%)
 25|PIKACHU   |ELECTRIC         |  35|  55|  30|  90|  50|  40|STATIC      |STATIC      |MASTER BALL (common)
 26|RAICHU    |ELECTRIC         |  60|  90|  55| 100|  90|  80|STATIC      |STATIC      |MACHO BRACE (rare)
 27|SANDSHREW |GROUND           |  50|  75|  85|  40|  20|  30|SAND VEIL   |SAND VEIL   |BLACK BELT (100%)
 28|SANDSLASH |GROUND           |  75| 100| 110|  65|  45|  55|SAND VEIL   |SAND VEIL   |TM10 (rare)
 29|NIDORAN♀  |POISON           |  55|  47|  52|  41|  40|  40|POISON POINT|POISON POINT|SACRED ASH (common), TM31 (rare)
 30|NIDORINA  |POISON           |  70|  62|  67|  56|  55|  55|POISON POINT|POISON POINT|
 31|NIDOQUEEN |POISON/GROUND    |  90|  82|  87|  76|  75|  85|POISON POINT|POISON POINT|
 32|NIDORAN♂  |POISON           |  46|  57|  40|  50|  40|  40|POISON POINT|POISON POINT|
 33|NIDORINO  |POISON           |  61|  72|  57|  65|  55|  55|POISON POINT|POISON POINT|
 34|NIDOKING  |POISON/GROUND    |  81|  92|  77|  85|  85|  75|POISON POINT|POISON POINT|SMOKE BALL (100%)
 35|CLEFAIRY  |NORMAL           |  70|  45|  48|  35|  60|  65|CUTE CHARM  |CUTE CHARM  |TM31 (rare)
 36|CLEFABLE  |NORMAL           |  95|  70|  73|  60|  85|  90|CUTE CHARM  |CUTE CHARM  |TM19 (common), MAX REVIVE (rare)
 37|VULPIX    |FIRE             |  38|  41|  40|  65|  50|  65|FLASH FIRE  |FLASH FIRE  |
 38|NINETALES |FIRE             |  73|  76|  75| 100|  81| 100|FLASH FIRE  |FLASH FIRE  |DRAGON SCALE (rare)
 39|JIGGLYPUFF|NORMAL           | 115|  45|  20|  20|  45|  25|CUTE CHARM  |CUTE CHARM  |TM23 (100%)
 40|WIGGLYTUFF|NORMAL           | 140|  70|  45|  45|  75|  50|CUTE CHARM  |CUTE CHARM  |LAX INCENSE (100%)
 41|ZUBAT     |POISON/FLYING    |  40|  45|  35|  55|  30|  40|INNER FOCUS |INNER FOCUS |
 42|GOLBAT    |POISON/FLYING    |  75|  80|  70|  90|  65|  75|INNER FOCUS |INNER FOCUS |
 43|ODDISH    |GRASS/POISON     |  45|  50|  55|  30|  75|  65|CHLOROPHYLL |CHLOROPHYLL |FULL RESTORE (rare)
 44|GLOOM     |GRASS/POISON     |  60|  65|  70|  40|  85|  75|CHLOROPHYLL |CHLOROPHYLL |TM12 (100%)
 45|VILEPLUME |GRASS/POISON     |  75|  80|  85|  50| 100|  90|CHLOROPHYLL |CHLOROPHYLL |TM18 (100%)
 46|PARAS     |BUG/GRASS        |  35|  70|  55|  25|  45|  55|EFFECT SPORE|EFFECT SPORE|TM35 (100%)
 47|PARASECT  |BUG/GRASS        |  60|  95|  80|  30|  60|  80|EFFECT SPORE|EFFECT SPORE|TM35 (common)
 48|VENONAT   |BUG/POISON       |  60|  55|  50|  45|  40|  55|COMPOUNDEYES|COMPOUNDEYES|
 49|VENOMOTH  |BUG/POISON       |  70|  65|  60|  90|  90|  75|SHIELD DUST |SHIELD DUST |SUPER POTION (rare)
 50|DIGLETT   |GROUND           |  10|  55|  25|  95|  35|  45|SAND VEIL   |ARENA TRAP  |
 51|DUGTRIO   |GROUND           |  35|  80|  50| 120|  50|  70|SAND VEIL   |ARENA TRAP  |TM13 (common), TM08 (rare)
 52|MEOWTH    |NORMAL           |  40|  45|  35|  90|  40|  40|PICKUP      |PICKUP      |
 53|PERSIAN   |NORMAL           |  65|  70|  60| 115|  65|  65|LIMBER      |LIMBER      |
 54|PSYDUCK   |WATER            |  50|  52|  48|  55|  65|  50|DAMP        |CLOUD NINE  |
 55|GOLDUCK   |WATER            |  80|  82|  78|  85|  95|  80|DAMP        |CLOUD NINE  |PARLYZ HEAL (100%)
 56|MANKEY    |FIGHTING         |  40|  80|  35|  70|  35|  45|VITAL SPIRIT|VITAL SPIRIT|DIRE HIT (common), LEFTOVERS (rare)
 57|PRIMEAPE  |FIGHTING         |  65| 105|  60|  95|  60|  70|VITAL SPIRIT|VITAL SPIRIT|
