--Patching for National Dex at Start of Game--
Patch successful!

--Pokemon Base Stats & Types--
NUM|NAME      |TYPE             |  HP| ATK| DEF| SPE|SATK|SDEF|ABILITY1    |ABILITY2    |ITEM
  1|BULBASAUR |GRASS/POISON     |  45|  49|  49|  45|  65|  65|OVERGROW    |-------     |
  2|IVYSAUR   |GRASS/POISON     |  60|  62|  63|  60|  80|  80|OVERGROW    |-------     |SEA INCENSE (common), SAFARI BALL (rare)
  3|VENUSAUR  |GRASS/POISON     |  80|  82|  83|  80| 100| 100|OVERGROW    |-------     |
  4|CHARMANDER|FIRE             |  39|  52|  43|  65|  60|  50|BLAZE       |-------     |HEAL POWDER (common), TM44 (rare)
  5|CHARMELEON|FIRE             |  58|  64|  58|  80|  80|  65|BLAZE       |-------     |BIG MUSHROOM (common), LEMONADE (rare)
  6|CHARIZARD |FIRE/FLYING      |  78|  84|  78| 100| 109|  85|BLAZE       |-------     |
  7|SQUIRTLE  |WATER            |  44|  48|  65|  43|  50|  64|TORRENT     |-------     |SITRUS BERRY (common)
  8|WARTORTLE |WATER            |  59|  63|  80|  58|  65|  80|TORRENT     |-------     |STARDUST (common), RED FLUTE (rare)
  9|BLASTOISE |WATER            |  79|  83| 100|  78|  85| 105|TORRENT     |-------     |
 10|CATERPIE  |BUG              |  45|  30|  35|  45|  20|  20|SHIELD DUST |-------     |ENERGY ROOT (common), X DEFEND (rare)
 11|METAPOD   |BUG              |  50|  20|  55|  30|  25|  25|SHED SKIN   |-------     |
 12|BUTTERFREE|BUG/FLYING       |  60|  45|  50|  70|  80|  80|COMPOUNDEYES|-------     |
 13|WEEDLE    |BUG/POISON       |  40|  35|  30|  50|  20|  20|SHIELD DUST |-------     |
 14|KAKUNA    |BUG/POISON       |  45|  25|  50|  35|  25|  25|SHED SKIN   |-------     |SHELL BELL (common)
 15|BEEDRILL  |BUG/POISON       |  65|  80|  40|  75|  45|  80|SWARM       |-------     |
 16|PIDGEY    |NORMAL/FLYING    |  40|  45|  40|  56|  35|  35|KEEN EYE    |-------     |MOOMOO MILK (rare)
 17|PIDGEOTTO |NORMAL/FLYING    |  63|  60|  55|  71|  50|  50|KEEN EYE    |-------     |THUNDERSTONE (common), WHITE HERB (rare)
 18|PIDGEOT   |NORMAL/FLYING    |  83|  80|  75|  91|  70|  70|KEEN EYE    |-------     |FLUFFY TAIL (rare)
 19|RATTATA   |NORMAL           |  30|  56|  35|  72|  25|  35|RUN AWAY    |GUTS        |TM36 (common), GREAT BALL (rare)
