--Patching for National Dex at Start of Game--
Patch successful!

--Pokemon Base Stats & Types--
NUM|NAME      |TYPE             |  HP| ATK| DEF| SPE|SATK|SDEF|ABILITY1    |ABILITY2    |ITEM
  1|BULBASAUR |GRASS/POISON     |  45|  49|  49|  45|  65|  65|OVERGROW    |-------     |
  2|IVYSAUR   |GRASS/POISON     |  60|  62|  63|  60|  80|  80|OVERGROW    |-------     |
  3|VENUSAUR  |GRASS/POISON     |  80|  82|  83|  80| 100| 100|OVERGROW    |-------     |TM01 (common), TM31 (rare)
  4|CHARMANDER|FIRE             |  39|  52|  43|  65|  60|  50|BLAZE       |-------     |
  5|CHARMELEON|FIRE             |  58|  64|  58|  80|  80|  65|BLAZE       |-------     |
  6|CHARIZARD |FIRE/FLYING      |  78|  84|  78| 100| 109|  85|BLAZE       |-------     |LEAF STONE (rare)
  7|SQUIRTLE  |WATER            |  44|  48|  65|  43|  50|  64|TORRENT     |-------     |TM36 (common)
  8|WARTORTLE |WATER            |  59|  63|  80|  58|  65|  80|TORRENT     |-------     |TM41 (common)
  9|BLASTOISE |WATER            |  79|  83| 100|  78|  85| 105|TORRENT     |-------     |
 10|CATERPIE  |BUG              |  45|  30|  35|  45|  20|  20|SHIELD DUST |-------     |QUICK CLAW (rare)
 11|METAPOD   |BUG              |  50|  20|  55|  30|  25|  25|SHED SKIN   |-------     |
 12|BUTTERFREE|BUG/FLYING       |  60|  45|  50|  70|  80|  80|COMPOUNDEYES|-------     |
 13|WEEDLE    |BUG/POISON       |  40|  35|  30|  50|  20|  20|SHIELD DUST |-------     |
 14|KAKUNA    |BUG/POISON       |  45|  25|  50|  35|  25|  25|SHED SKIN   |-------     |
 15|BEEDRILL  |BUG/POISON       |  65|  80|  40|  75|  45|  80|SWARM       |-------     |DEEPSEASCALE (common)
 16|PIDGEY    |NORMAL/FLYING    |  40|  45|  40|  56|  35|  35|KEEN EYE    |-------     |
 17|PIDGEOTTO |NORMAL/FLYING    |  63|  60|  55|  71|  50|  50|KEEN EYE    |-------     |
 18|PIDGEOT   |NORMAL/FLYING    |  83|  80|  75|  91|  70|  70|KEEN EYE    |-------     |
 19|RATTATA   |NORMAL           |  30|  56|  35|  72|  25|  35|RUN AWAY    |GUTS        |TM04 (common), PREMIER BALL (rare)
 20|RATICATE  |NORMAL           |  55|  81|  60|  97|  50|  70|RUN AWAY    |GUTS        |
 21|SPEAROW   |NORMAL/FLYING    |  40|  60|  30|  70|  31|  31|KEEN EYE    |-------     |HEAL POWDER (100%)
 22|FEAROW    |NORMAL/FLYING    |  65|  90|  65| 100|  61|  61|KEEN EYE    |-------     |SPELL TAG (common), TM03 (rare)
 23|EKANS     |POISON           |  35|  60|  44|  55|  40|  54|INTIMIDATE  |SHED SKIN   |STARDUST (common)
 24|ARBOK     |POISON           |  60|  85|  69|  80|  65|  79|INTIMIDATE  |SHED SKIN   |TM46 (rare)
 25|PIKACHU   |ELECTRIC         |  35|  55|  30|  90|  50|  40|STATIC      |-------     |HP UP (100%)
 26|RAICHU    |ELECTRIC         |  60|  90|  55| 100|  90|  80|STATIC      |-------     |
 27|SANDSHREW |GROUND           |  50|  75|  85|  40|  20|  30|SAND VEIL   |-------     |
 28|SANDSLASH |GROUND           |  75| 100| 110|  65|  45|  55|SAND VEIL   |-------     |
 29|NIDORAN♀  |POISON           |  55|  47|  52|  41|  40|  40|POISON POINT|-------     |
 30|NIDORINA  |POISON           |  70|  62|  67|  56|  55|  55|POISON POINT|-------     |TM15 (common), SUN STONE (rare)
 31|NIDOQUEEN |POISON/GROUND    |  90|  82|  87|  76|  75|  85|POISON POINT|-------     |TM34 (rare)
 32|NIDORAN♂  |POISON           |  46|  57|  40|  50|  40|  40|POISON POINT|-------     |HEART SCALE (100%)
 33|NIDORINO  |POISON           |  61|  72|  57|  65|  55|  55|POISON POINT|-------     |TM13 (rare)
 34|NIDOKING  |POISON/GROUND    |  81|  92|  77|  85|  85|  75|POISON POINT|-------     |
 35|CLEFAIRY  |NORMAL           |  70|  45|  48|  35|  60|  65|CUTE CHARM  |-------     |RED SHARD (common), TM48 (rare)
 36|CLEFABLE  |NORMAL           |  95|  70|  73|  60|  85|  90|CUTE CHARM  |-------     |NEVERMELTICE (100%)
 37|VULPIX    |FIRE             |  38|  41|  40|  65|  50|  65|FLASH FIRE  |-------     |PARLYZ HEAL (100%)
 38|NINETALES |FIRE             |  73|  76|  75| 100|  81| 100|FLASH FIRE  |-------     |TM50 (100%)
 39|JIGGLYPUFF|NORMAL           | 115|  45|  20|  20|  45|  25|CUTE CHARM  |-------     |
 40|WIGGLYTUFF|NORMAL           | 140|  70|  45|  45|  75|  50|CUTE CHARM  |-------     |
 41|ZUBAT     |POISON/FLYING    |  40|  45|  35|  55|  30|  40|INNER FOCUS |-------     |
 42|GOLBAT    |POISON/FLYING    |  75|  80|  70|  90|  65|  75|INNER FOCUS |-------     |TM41 (common)
 43|ODDISH    |GRASS/POISON     |  45|  50|  55|  30|  75|  65|CHLOROPHYLL |-------     |
 44|GLOOM     |GRASS/POISON     |  60|  65|  70|  40|  85|  75|CHLOROPHYLL |-------     |
