--Patching for National Dex at Start of Game--
Patch unsuccessful.

--Pokemon Base Stats & Types--
NUM|NAME      |TYPE             |  HP| ATK| DEF| SPE|SATK|SDEF|ABILITY1    |ABILITY2    |ITEM
  1|BULBASAUR |GRASS/POISON     |  45|  49|  49|  45|  65|  65|OVERGROW    |OVERGROW    |
  2|IVYSAUR   |GRASS/POISON     |  60|  62|  63|  60|  80|  80|OVERGROW    |OVERGROW    |TM14 (100%)
  3|VENUSAUR  |GRASS/POISON     |  80|  82|  83|  80| 100| 100|OVERGROW    |OVERGROW    |
  4|CHARMANDER|FIRE             |  39|  52|  43|  65|  60|  50|BLAZE       |BLAZE       |
  5|CHARMELEON|FIRE             |  58|  64|  58|  80|  80|  65|BLAZE       |BLAZE       |
  6|CHARIZARD |FIRE/FLYING      |  78|  84|  78| 100| 109|  85|BLAZE       |BLAZE       |
  7|SQUIRTLE  |WATER            |  44|  48|  65|  43|  50|  64|TORRENT     |TORRENT     |CHERI BERRY (common), QUICK CLAW (rare)
  8|WARTORTLE |WATER            |  59|  63|  80|  58|  65|  80|TORRENT     |TORRENT     |
  9|BLASTOISE |WATER            |  79|  83| 100|  78|  85| 105|TORRENT     |TORRENT     |SUN STONE (common), LUXURY BALL (rare)
 10|CATERPIE  |BUG              |  45|  30|  35|  45|  20|  20|SHIELD DUST |SHIELD DUST |TM12 (common)
 11|METAPOD   |BUG              |  50|  20|  55|  30|  25|  25|SHED SKIN   |SHED SKIN   |
 12|BUTTERFREE|BUG/FLYING       |  60|  45|  50|  70|  80|  80|COMPOUNDEYES|COMPOUNDEYES|TINYMUSHROOM (100%)
 13|WEEDLE    |BUG/POISON       |  40|  35|  30|  50|  20|  20|SHIELD DUST |SHIELD DUST |ENERGY ROOT (common)
 14|KAKUNA    |BUG/POISON       |  45|  25|  50|  35|  25|  25|SHED SKIN   |SHED SKIN   |DIRE HIT (100%)
 15|BEEDRILL  |BUG/POISON       |  65|  80|  40|  75|  45|  80|SWARM       |SWARM       |TM24 (rare)
 16|PIDGEY    |NORMAL/FLYING    |  40|  45|  40|  56|  35|  35|KEEN EYE    |KEEN EYE    |
 17|PIDGEOTTO |NORMAL/FLYING    |  63|  60|  55|  71|  50|  50|KEEN EYE    |KEEN EYE    |DEEPSEATOOTH (common), MAGNET (rare)
 18|PIDGEOT   |NORMAL/FLYING    |  83|  80|  75|  91|  70|  70|KEEN EYE    |KEEN EYE    |
 19|RATTATA   |NORMAL           |  30|  56|  35|  72|  25|  35|RUN AWAY    |GUTS        |MOOMOO MILK (100%)
 20|RATICATE  |NORMAL           |  55|  81|  60|  97|  50|  70|RUN AWAY    |GUTS        |
 21|SPEAROW   |NORMAL/FLYING    |  40|  60|  30|  70|  31|  31|KEEN EYE    |KEEN EYE    |
 22|FEAROW    |NORMAL/FLYING    |  65|  90|  65| 100|  61|  61|KEEN EYE    |KEEN EYE    |TM17 (common), TM30 (rare)
 23|EKANS     |POISON           |  35|  60|  44|  55|  40|  54|INTIMIDATE  |SHED SKIN   |
 24|ARBOK     |POISON           |  60|  85|  69|  80|  65|  79|INTIMIDATE  |SHED SKIN   |FLUFFY TAIL (common), DEEPSEATOOTH (rare)
 25|PIKACHU   |ELECTRIC         |  35|  55|  30|  90|  50|  40|STATIC      |STATIC      |DEEPSEASCALE (100%)
